date,open,high,low,close,change_rate
2017-01-02,12.28,12.3,11.68,11.68,1.48
2017-01-03,11.66,11.66,11.21,11.24,-3.77
2017-01-04,11.19,11.2,10.9,10.9,-3.02
2017-01-05,10.92,11.2,10.79,11.12,2.02
2017-01-06,11.02,11.03,10.76,11.0,-1.08
2017-01-09,11.26,11.38,11.04,11.13,1.18
2017-01-10,11.08,11.27,10.97,10.97,-1.44
2017-01-11,11.23,11.65,11.05,11.39,3.83
2017-01-12,11.57,12.06,11.53,12.03,5.62
2017-01-13,11.68,11.7,10.89,10.96,-8.89
2017-01-16,11.29,12.15,11.13,11.8,7.66
2017-01-17,11.6,11.83,11.46,11.81,0.08
2017-01-18,12.01,12.65,11.89,12.25,3.73
2017-01-19,12.05,13.08,12.0,12.56,2.53
2017-01-20,13.01,13.01,12.66,12.72,1.27
2017-01-23,13.13,13.16,12.88,12.91,1.49
2017-01-24,12.79,12.95,12.49,12.49,-3.25
2017-01-25,12.51,12.53,12.08,12.12,-2.96
2017-01-26,12.0,12.0,11.59,11.59,-4.37
2017-01-31,12.41,12.59,12.25,12.53,8.11
2017-02-01,12.42,12.48,12.1,12.1,-3.43
2017-02-02,12.02,12.41,11.68,12.21,0.91
2017-02-03,12.03,12.22,11.91,11.93,-2.29
2017-02-06,12.07,12.27,11.91,11.96,0.25
2017-02-07,11.94,12.03,11.71,11.71,-2.09
2017-02-08,11.97,12.05,11.31,11.31,-3.42
2017-02-09,11.38,11.41,10.81,10.92,-3.45
2017-02-10,10.8,10.8,10.32,10.39,-4.85
2017-02-13,10.8,10.86,10.46,10.49,0.96
2017-02-14,10.58,10.74,10.41,10.47,-0.19
2017-02-15,10.53,10.55,10.1,10.19,-2.67
2017-02-16,10.19,10.29,10.09,10.14,-0.49
2017-02-17,10.32,10.33,10.02,10.02,-1.18
2017-02-20,10.42,10.62,10.11,10.17,1.5
2017-02-21,10.09,10.35,9.98,10.0,-1.67
2017-02-22,10.0,10.01,9.71,9.72,-2.8
2017-02-23,9.81,9.83,9.7,9.79,0.72
2017-02-24,9.92,10.38,9.84,10.19,4.09
2017-02-27,10.61,10.79,10.49,10.62,4.22
2017-02-28,10.68,10.71,10.46,10.64,0.19
2017-03-02,10.81,10.94,10.49,10.55,-0.85
2017-03-03,10.71,11.27,10.63,10.97,3.98
2017-03-06,11.31,11.41,11.06,11.28,2.83
2017-03-07,11.07,11.25,10.87,11.19,-0.8
2017-03-08,11.05,11.3,10.9,11.3,0.98
2017-03-09,11.34,11.96,11.22,11.96,5.84
2017-03-10,12.29,12.31,10.43,10.67,-10.79
2017-03-13,10.73,10.89,10.63,10.7,0.28
2017-03-14,10.6,11.21,10.55,11.11,3.83
2017-03-15,11.29,11.7,11.29,11.38,2.43
2017-03-16,11.7,11.7,11.15,11.27,-0.97
2017-03-17,11.09,11.46,10.86,11.25,-0.18
2017-03-20,11.75,11.85,11.69,11.74,4.36
2017-03-21,11.84,12.91,11.83,12.64,7.67
2017-03-22,13.15,13.57,13.11,13.16,4.11
2017-03-23,12.93,12.98,12.67,12.75,-3.12
2017-03-24,12.58,12.69,12.35,12.36,-3.06
2017-03-27,12.96,13.12,12.85,12.97,4.94
2017-03-28,12.68,12.72,12.21,12.25,-5.55
2017-03-29,12.04,12.05,11.55,11.55,-5.71
2017-03-30,11.32,11.5,11.16,11.2,-3.03
2017-03-31,11.15,11.22,10.99,11.06,-1.25
2017-04-03,11.31,11.32,10.96,11.01,-0.45
2017-04-04,11.09,11.09,10.67,10.94,-0.64
2017-04-05,10.89,11.7,10.74,11.1,1.46
2017-04-06,11.64,12.31,11.64,11.82,6.49
2017-04-07,11.66,13.09,11.66,12.63,6.85
2017-04-10,13.27,15.32,13.26,14.77,16.94
2017-04-11,15.18,19.05,14.85,16.68,12.93
2017-04-12,16.77,26.95,15.74,15.75,-5.58
2017-04-13,14.74,25.8,14.52,14.53,-7.75
2017-04-14,13.9,19.3,13.9,16.4,12.87
2017-04-17,15.78,16.76,15.3,15.81,-3.6
2017-04-18,15.52,16.51,15.16,15.38,-2.72
2017-04-19,15.71,16.01,14.77,14.87,-3.32
2017-04-20,15.02,15.02,13.3,13.3,-10.56
2017-04-21,12.86,12.97,12.49,12.89,-3.08
2017-04-24,12.81,12.96,12.74,12.77,-0.93
2017-04-25,12.62,13.41,12.02,12.02,-5.87
2017-04-26,12.47,12.68,12.18,12.18,1.33
2017-04-27,12.38,12.44,11.82,11.82,-2.96
2017-04-28,11.93,12.41,11.7,12.27,3.81
2017-05-02,12.77,13.68,12.71,13.18,7.42
2017-05-04,13.72,13.77,13.36,13.77,4.48
2017-05-08,14.28,16.07,13.8,15.74,14.31
2017-05-10,17.38,18.88,15.94,16.15,2.6
2017-05-11,15.57,15.61,14.13,14.72,-8.85
2017-05-12,13.74,13.86,12.32,12.32,-16.3
2017-05-15,12.93,13.1,12.79,12.89,4.63
2017-05-16,13.24,13.42,12.51,12.51,-2.95
2017-05-17,12.98,12.99,12.62,12.83,2.56
2017-05-18,13.67,14.06,13.18,13.18,2.73
2017-05-19,13.04,13.07,12.64,12.88,-2.28
2017-05-22,13.08,13.17,12.73,12.79,-0.7
2017-05-23,12.85,13.47,12.8,12.88,0.7
2017-05-24,13.2,13.25,12.95,12.95,0.54
2017-05-25,12.92,13.6,12.92,13.56,4.71
2017-05-26,13.52,14.49,13.51,13.51,-0.37
2017-05-29,14.25,14.58,13.92,14.02,3.77
2017-05-30,14.03,14.19,13.6,13.6,-3.0
2017-05-31,13.64,13.74,13.18,13.18,-3.09
2017-06-01,13.32,13.42,12.77,12.77,-3.11
2017-06-02,12.86,12.99,12.62,12.68,-0.7
2017-06-05,13.11,13.2,12.95,12.97,2.29
2017-06-07,13.13,13.28,12.8,12.89,-0.62
2017-06-08,12.92,13.02,12.04,12.12,-5.97
2017-06-09,11.46,11.81,11.23,11.43,-5.69
2017-06-12,12.02,12.22,11.9,12.09,5.77
2017-06-13,12.0,12.05,11.5,11.54,-4.55
2017-06-14,11.65,11.97,11.6,11.63,0.78
2017-06-15,11.75,12.18,11.57,11.71,0.69
2017-06-16,11.68,11.72,11.46,11.46,-2.13
2017-06-19,11.94,12.04,11.74,11.74,2.44
2017-06-20,11.91,12.01,11.69,11.71,-0.26
2017-06-21,11.98,12.0,11.63,11.63,-0.68
2017-06-22,11.59,11.61,11.17,11.18,-3.87
2017-06-23,11.26,11.44,11.18,11.31,1.16
2017-06-26,11.97,12.02,11.86,11.87,4.95
2017-06-27,12.01,12.06,11.74,11.74,-1.1
2017-06-28,11.86,12.09,11.84,11.98,2.04
2017-06-29,12.01,12.06,11.65,11.65,-2.75
2017-06-30,12.2,12.22,11.98,12.0,3.0
2017-07-03,12.42,12.48,12.3,12.3,2.5
2017-07-04,12.34,14.38,12.31,14.03,14.07
2017-07-05,13.8,13.85,13.13,13.18,-6.06
2017-07-06,13.06,13.27,12.9,12.99,-1.44
2017-07-07,13.33,13.55,12.96,12.97,-0.15
2017-07-10,13.12,13.14,12.46,12.55,-3.24
2017-07-11,12.49,12.51,12.01,12.09,-3.67
2017-07-12,12.14,12.15,11.71,11.73,-2.98
2017-07-13,11.67,11.92,10.92,10.93,-6.82
2017-07-14,10.76,10.78,10.14,10.43,-4.57
2017-07-17,10.66,10.92,10.64,10.78,3.36
2017-07-18,10.8,10.89,10.68,10.74,-0.37
2017-07-19,10.76,10.96,10.58,10.62,-1.12
2017-07-20,10.7,10.81,10.28,10.39,-2.17
2017-07-21,10.47,10.52,9.82,9.82,-5.49
2017-07-24,10.33,10.41,10.06,10.06,2.44
2017-07-25,10.16,10.44,10.04,10.36,2.98
2017-07-26,10.43,10.99,10.36,10.52,1.54
2017-07-27,10.4,10.58,10.36,10.38,-1.33
2017-07-28,11.04,12.93,11.04,12.93,24.57
2017-07-31,13.08,13.41,12.49,12.79,-1.08
2017-08-01,12.7,12.7,11.63,11.66,-8.84
2017-08-02,11.59,11.62,11.29,11.41,-2.14
2017-08-03,12.82,15.21,12.81,13.48,18.14
2017-08-04,13.04,13.58,12.72,12.78,-5.19
2017-08-07,12.54,12.64,12.06,12.62,-1.25
2017-08-08,12.12,13.02,12.12,12.54,-0.63
2017-08-09,14.54,16.28,14.51,15.7,25.2
2017-08-10,15.3,20.31,15.07,16.55,5.41
2017-08-11,20.6,21.01,18.56,18.96,14.56
2017-08-14,17.28,17.41,16.57,16.75,-11.66
2017-08-16,14.0,14.9,13.96,14.09,-15.88
2017-08-17,13.51,13.53,12.19,12.19,-13.48
2017-08-18,13.71,14.03,12.89,13.1,7.47
2017-08-21,13.69,13.84,13.23,13.41,2.37
2017-08-22,12.76,12.99,12.65,12.65,-5.67
2017-08-23,12.4,12.95,12.34,12.61,-0.32
2017-08-24,12.33,12.4,12.04,12.17,-3.49
2017-08-25,12.42,12.61,12.18,12.18,0.08
2017-08-28,12.65,13.22,12.59,13.05,7.14
2017-08-29,14.08,15.44,13.57,13.72,5.13
2017-08-30,13.44,13.44,12.94,12.94,-5.69
2017-08-31,13.13,14.06,13.13,13.64,5.41
2017-09-01,13.27,13.87,13.18,13.36,-2.05
2017-09-04,15.76,15.76,14.67,15.23,14.0
2017-09-05,15.08,16.46,15.08,16.12,5.84
2017-09-06,16.55,16.64,16.15,16.29,1.05
2017-09-07,15.56,15.56,14.28,14.66,-10.01
2017-09-08,14.61,15.26,14.5,14.99,2.25
2017-09-11,13.55,14.19,13.31,13.89,-7.34
2017-09-12,13.71,13.87,13.46,13.46,-3.1
2017-09-13,13.65,13.65,12.28,13.4,-0.45
2017-09-14,12.86,12.93,11.53,11.53,-13.96
2017-09-15,12.23,12.29,10.94,11.12,-3.56
