code,name,market,market_cap,shares,avg_trdval_60d,listed_days
005930,삼성전자,KOSPI,2107583438184000,5846278608,6819904932556,133
000660,SK하이닉스,KOSPI,1681977581400000,712702365,6804757746526,133
005935,삼성전자우,KOSPI,185748933494500,802371203,801039958988,133
402340,SK스퀘어,KOSPI,177615987556000,131958386,641605691252,133
005380,현대차,KOSPI,149268411414000,204757766,943574128014,133
009150,삼성전기,KOSPI,135419670848000,74693696,914192894318,133
373220,LG에너지솔루션,KOSPI,103545000000000,234000000,207756970098,133
032830,삼성생명,KOSPI,96000000000000,200000000,118454398089,133
028260,삼성물산,KOSPI,78732360575500,162167581,190132464902,133
329180,HD현대중공업,KOSPI,70638904425000,104961225,285486020554,133
012330,현대모비스,KOSPI,68866030497000,90732583,319247737479,133
000270,기아,KOSPI,65901714062400,390412998,228640962359,133
034020,두산에너빌리티,KOSPI,64056114600000,640561146,495824671655,133
066570,LG전자,KOSPI,63932220415000,162884638,442590055076,133
207940,삼성바이오로직스,KOSPI,63279730017000,46290951,82755368883,133
105560,KB금융,KOSPI,58388381253000,372850455,185567480876,133
012450,한화에어로스페이스,KOSPI,55172839070000,51563401,335032605079,133
006400,삼성SDI,KOSPI,48512489060000,80585530,459812740366,133
034730,SK,KOSPI,48431805604000,72502703,107536648154,133
055550,신한지주,KOSPI,45756680400400,474654361,129896446103,133
035420,NAVER,KOSPI,44003094168000,156873776,297343743242,133
068270,셀트리온,KOSPI,41736787873900,222122341,113906184296,133
010120,LS ELECTRIC,KOSPI,36225000000000,150000000,257275099412,133
267260,HD현대일렉트릭,KOSPI,35866899325000,36047135,180790236178,133
042660,한화오션,KOSPI,35543953704000,306413394,226338839400,133
298040,효성중공업,KOSPI,33046198112000,9324548,181849494053,133
006800,미래에셋증권,KOSPI,32342965664000,559566880,266358904959,133
086790,하나금융지주,KOSPI,32101026516000,274367748,104287848402,133
005490,POSCO홀딩스,KOSPI,31617369273000,79241527,206187002169,133
000150,두산,KOSPI,31059775530000,16193835,131369182916,133
011070,LG이노텍,KOSPI,29631217964000,23667107,265156681395,133
000810,삼성화재,KOSPI,28619030193000,44647473,80617250481,133
010130,고려아연,KOSPI,27594065018000,20872969,56941248955,133
009540,HD한국조선해양,KOSPI,27141489986000,70773116,100555196284,133
017670,SK텔레콤,KOSPI,26891714635600,214790053,113399083606,133
042700,한미반도체,KOSPI,26258511100000,95312200,353340726562,133
051910,LG화학,KOSPI,25060281765000,70592343,129628368436,133
307950,현대오토에버,KOSPI,24626735836000,27423982,131949131095,133
010140,삼성중공업,KOSPI,24376000000000,880000000,199607868463,133
015760,한국전력,KOSPI,24234143906750,641964077,111488415317,133
018260,삼성에스디에스,KOSPI,23252028900000,77377800,123117251369,133
064350,현대로템,KOSPI,22155885479000,109142293,182594267405,133
316140,우리금융지주,KOSPI,21948881968000,734076320,73238516208,133
267250,HD현대,KOSPI,21841588002500,78993085,48600156340,133
003550,LG,KOSPI,21591021900000,154221585,77675261053,133
003670,포스코퓨처엠,KOSPI,19790533950000,88946220,95040971688,133
096770,SK이노베이션,KOSPI,19660839244400,169052788,87589237245,133
247540,에코프로비엠,KOSDAQ,19370425932000,97830434,127729016400,133
033780,KT&G,KOSPI,19163410177600,103810456,50710216177,133
196170,알테오젠,KOSDAQ,19130324451000,53586343,149885205250,133
035720,카카오,KOSPI,18793935625700,441690614,89878061198,133
011200,HMM,KOSPI,18402572794700,943237970,32006695017,133
272210,한화시스템,KOSPI,18400748488600,188919389,187890205405,133
138040,메리츠금융지주,KOSPI,17755545665300,167347273,32009573842,133
086520,에코프로,KOSDAQ,17325036995200,135776152,224878076175,133
086280,현대글로비스,KOSPI,16612500000000,75000000,78262440511,133
024110,기업은행,KOSPI,16227616434150,797425869,29820680624,133
079550,LIG디펜스앤에어로스페이스,KOSPI,15972000000000,22000000,346319766440,133
278470,에이피알,KOSPI,15012700155000,37438155,127824060103,133
000720,현대건설,KOSPI,14943943663000,111355765,212760905939,133
277810,레인보우로보틱스,KOSDAQ,14802091654000,19399858,143260057983,133
047810,한국항공우주,KOSPI,14328840729000,97475107,128714073139,133
030200,KT,KOSPI,13583968821500,252021685,27917588301,133
071050,한국금융지주,KOSPI,13457827068000,55725992,74429995176,133
006260,LS,KOSPI,13275600000000,31200000,93287357299,133
064400,LG씨엔에스,KOSPI,13147423143600,96885948,145726687505,133
010950,S-Oil,KOSPI,12192716373600,112582792,77940551660,133
259960,크래프톤,KOSPI,11626522236000,46136993,41949582902,133
0126Z0,삼성에피스홀딩스,KOSPI,11545734736000,24883049,31486405504,127
005940,NH투자증권,KOSPI,10921954909850,356344369,34530172030,133
454910,두산로보틱스,KOSPI,10805490666000,64819980,127012543420,133
016360,삼성증권,KOSPI,10769580000000,89300000,78548173858,133
047050,포스코인터내셔널,KOSPI,10537775001200,175922788,76794798125,133
323410,카카오뱅크,KOSPI,10496649614000,477120437,21695924184,133
443060,HD현대마린솔루션,KOSPI,10177195420000,44833460,62899504536,133
007660,이수페타시스,KOSPI,10005676549700,73409219,169524093557,133
005387,현대차2우B,KOSPI,9859828260000,34963930,63124909780,133
028050,삼성E&A,KOSPI,9662800000000,196000000,164083673578,133
039490,키움증권,KOSPI,9547107024000,26228316,65771131570,133
005830,DB손해보험,KOSPI,9530300779500,65500349,40922112179,133
047040,대우건설,KOSPI,9368694146400,410907638,767233414552,133
003490,대한항공,KOSPI,9315982723300,368220661,52479303902,133
352820,하이브,KOSPI,9202330161500,43102249,87370097812,133
036930,주성엔지니어링,KOSDAQ,9152132724900,46481121,309096717525,133
950160,코오롱티슈진,KOSDAQ,9151493400000,84736050,62531069951,133
161390,한국타이어앤테크놀로지,KOSPI,8646479816200,123875069,27583229879,133
003230,삼양식품,KOSPI,8587637100000,7533015,74946963366,133
000880,한화,KOSPI,8383391569100,70507919,35360264086,133
034220,LG디스플레이,KOSPI,8345000000000,500000000,154136043600,133
001440,대한전선,KOSPI,8329685330000,195992596,402689246584,133
353200,대덕전자,KOSPI,7783165687500,49416925,136715347951,133
180640,한진칼,KOSPI,7630928489700,66762279,18903315210,133
000990,DB하이텍,KOSPI,7400130418800,43504588,82434564037,133
036570,NC,KOSPI,7281879436000,21544022,38215755686,133
000250,삼천당제약,KOSDAQ,7084156544000,23457472,216918885808,133
267270,HD건설기계,KOSPI,7082856376600,47921897,62375328523,133
058470,리노공업,KOSDAQ,7072459680000,76211850,104961646778,133
009830,한화솔루션,KOSPI,7013215468800,171892536,201869317390,133
028300,HLB,KOSDAQ,6939627418300,133198223,40800204668,133
326030,SK바이오팜,KOSPI,6922891300000,78313250,48757915024,133
062040,산일전기,KOSPI,6888566250000,30615850,119547203225,133
032640,LG유플러스,KOSPI,6854507871800,424427732,20597324806,133
078930,GS,KOSPI,6744212937000,92895495,21405107659,133
021240,코웨이,KOSPI,6694598499600,70767426,25851479817,133
005385,현대차우,KOSPI,6582150720000,23340960,37477500893,133
128940,한미약품,KOSPI,6495172437000,12810991,58926180120,133
000100,유한양행,KOSPI,6491279481500,79647601,23889585947,133
090430,아모레퍼시픽,KOSPI,6393258558700,58492759,33791364575,133
000500,가온전선,KOSPI,6385642390000,16543115,39276727741,133
087010,펩트론,KOSDAQ,6307343175000,23317350,56581172741,133
377300,카카오페이,KOSPI,6302942415000,135256275,25474064607,133
241560,두산밥캣,KOSPI,6249815438000,95856065,21630077959,133
066970,엘앤에프,KOSPI,6068323050000,40455487,143730744341,133
298380,에이비엘바이오,KOSDAQ,5996257287300,55987463,84069260845,133
108490,로보티즈,KOSDAQ,5936096340000,14657028,100552709350,133
010060,OCI홀딩스,KOSPI,5909128428000,18670232,113525641621,133
